economy,item,unit,item_code_new,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
18_CT,aluminium_production,thousand tonnes,13_3_nonferrous_metals,15501,15809,14806,16325,15690,15893,16321,17226,19049,19889,,,,,,,,,,,,,,,,,,,,,,35,35,35,30,48,42.9,46.82,51.506
19_THA,aluminium_production,thousand tonnes,13_3_nonferrous_metals,5883,6904,7285,8006,9083,8726,8723,10931,12683,16561,,,,,,,,,,,,,,,,,,,,,,86.507,87.385,79.25,90,90,89.5087,91.72796,95.436718
20_USA,aluminium_production,thousand tonnes,13_3_nonferrous_metals,76709,72932,64341,71347,78699,78859,79916,79501,78252,78559,4050,4120,4040,3700,3300,3375,3577,3603,3713,3779,3668,2637,2706.582,2703.328,2516.362,2480.999,2284,2553.884,2658.267,1727.162,1725.73,1986.026,2070.314,1946.035,1710.415,1586.512,841,741,890
21_VN,aluminium_production,thousand tonnes,13_3_nonferrous_metals,707,601,882,1023,1213,1430,1700,1667,1650,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_AUS,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,434.5,430.9,576,762,686,787,790,790,1200,1200,1200,1200,1200,1200,1250,1250,1250,1300,1300,1300,1300
02_BD,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,453.14,625.691,758.624,191.396,615.956,489.09551,643.79068,652.9224627,660.5322816
03_CDA,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,3899.9,4134.9,4130,3439,3700,3662,4107,4100,4100,4498,4781,4000,3620,3946,3942,3942,3940,4000,4140,3750,3800
04_CHL,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,935,554,313,204,165,204,395,407.2254341,419.5267041
05_PRC,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,25800,28300,27700,28200,30200,31500,34800,37850,40660,42480,41140,42290,40870,43250,45520,47310,47300,46000,46000,43600,44000
06_HKC,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07_INA,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,3600,3450,3620,3655,4200,4250,4120,4400,4300,4400,4500,4600,4800,5000,5100,5000,5000,6917,6463,5000,6000
08_JPN,ammonia_production,thousand tonnes,13_2_chemical_incl__petrochemical,,,,,,,,,,,,,,,,,,,1388.721,1384.742,1410,1318,1188,1054,1338.2,1293.9,1318.5,1298.1,1137.9,1060.3,1192.2,1174.625,1010.5,993.6,914.5,901.4,862.691,862.82,783.03
