Economy,Year,GDP,SteelProduction,Population,GDPpercap,PROpercap,lnGDPpercap,lnPROpercap
KOR,1994,181.232690713144,33.75,44820.07,0.004043561081300051,0.0007530108721383077,-5.510629519495738,-7.191430891837927
MAS,1994,70.87974472694441,2.05,19977.508,0.003547977291609364,0.00010261540128027979,-5.641377614890866,-9.184522526548728
MEX,1994,252.20293692463002,10.26,90156.396,0.0027973937303863616,0.00011380224205058065,-5.879067105850451,-9.08104833479142
NZ,1994,18.753010093335604,0.77,3623.272,0.005175711371747858,0.00021251509685168545,-5.2637784861382135,-8.456497528115378
PNG,1994,1.34641915705477,1.0,5065.664000000002,0.0002657932221826733,0.0001974074869553132,-8.232791911699216,-8.530240503845668
PE,1994,22.2761558789477,0.51,23851.405,0.0009339557094832653,2.1382388165393192e-05,-6.97608154111327,-10.752942957698385
RP,1994,62.8494952057593,0.47,68180.8459999999,0.0009218057400719168,6.893431624477065e-06,-6.98917605067196,-11.884941538223831
RUS,1994,317.045922445932,48.81,148349.443,0.002137156136446916,0.0003290204466760283,-6.148279241932321,-8.019390661178551
SIN,1994,37.9177030236948,0.53,3415.7009999999896,0.01110100182179146,0.0001551658063747388,-4.500719920521068,-8.771016294239512
CT,1994,59.8752202294425,11.59,21207.424,0.0028233141483587306,0.0005465067327366115,-5.869843854159761,-7.511963930685944
THA,1994,144.007712480827,1.46,58875.275,0.0024459794452055977,2.4798185656033026e-05,-6.013309645184355,-10.604740066500517
USA,1994,1797.78414084273,91.24,262241.204,0.006855460215331874,0.0003479239669750753,-4.982709832505551,-7.9635265877650845
VN,1994,22.972634058649398,0.3,73651.22,0.0003119111137418959,4.073252282854242e-06,-8.072792302597083,-12.41106879091319
AUS,1995,78.9761735053353,8.46,17993.083,0.004389251886701979,0.00047018067998685946,-5.428596479468952,-7.662393511628766
BD,1995,2.7990903718010003,1.0,297.112,0.00942099400832346,0.0033657341339292926,-4.664814674907374,-5.694109172093819
CDA,1995,157.23296210080798,14.42,29164.153,0.005391309053302799,0.0004944426124770364,-5.2229670565165955,-7.612079465249694
CHL,1995,35.828092211256305,1.01,14380.864,0.00249137271663624,7.023221970529726e-05,-5.994921428589247,-9.563703382066166
PRC,1995,913.6512643939067,95.36,1240920.539,0.0007362689517011102,7.684617749726842e-05,-7.213915082479363,-9.473704829005044
HKC,1995,9.76934925665398,0.15,6084.234,0.0016056826967296095,2.46538841208277e-05,-6.4342062566206435,-10.6105760990639
INA,1995,279.98202143891103,4.13,196934.257,0.0014217029870984357,2.097146561961538e-05,-6.5558998392497525,-10.77234782423782
JPN,1995,1001.0965550310699,101.64,126365.486,0.007922230877433335,0.0008043335503809956,-4.8380824363755615,-7.125496511159486
