Economy,Year,GDP,SteelProduction,Population
AUS,2007,85.9873615467146,7.94,20916.339
BD,2007,2.76574424622885,1.0,374.967
CDA,2007,185.606911980582,15.57,32930.795
CHL,2007,38.96304852400949,1.68,16530.201
PRC,2007,2875.7382568717303,489.71,1345993.89099999
HKC,2007,6.65489971605866,1.0,6840.017
INA,2007,459.974342639754,4.16,232374.23899999997
JPN,2007,1087.4397477277698,120.2,128494.05
KOR,2007,372.67944359300697,51.52,49034.812999999995
MAS,2007,136.464627922447,6.9,26720.367000000002
MEX,2007,321.38048375932794,17.57,109170.50300000001
NZ,2007,19.5464538175597,0.85,4233.045999999989
PNG,2007,0.512517256283659,1.0,6808.503000000001
PE,2007,40.385501410495,0.88,28333.05
RP,2007,107.617187959916,0.72,89405.4819999999
RUS,2007,517.0435629394229,72.39,143266.207
SIN,2007,81.009199926607,0.64,4578.629
CT,2007,198.09571989958096,20.9,22927.222
THA,2007,273.87111503657104,5.57,66182.064
USA,2007,2156.14883121129,98.1,300608.425
VN,2007,73.2094759616129,2.02,85419.588
AUS,2008,88.31403133825891,7.63,21332.292999999998
BD,2008,3.5811950972523703,1.0,379.418
CDA,2008,167.493658370634,14.95,33337.638
CHL,2008,37.6025790180108,1.55,16708.255
PRC,2008,3127.66855865873,512.34,1353569.48
HKC,2008,6.396303912425999,1.0,6881.861
INA,2008,501.44296429955705,3.92,235469.755
JPN,2008,1043.98900980153,118.74,128538.644
KOR,2008,388.2940781524261,53.63,49182.458
MAS,2008,134.504846382045,6.42,27236.002999999997
MEX,2008,323.44966248812494,17.21,110815.272
NZ,2008,19.4790539815776,0.8,4278.156
PNG,2008,0.533286198795762,1.0,6976.2
PE,2008,43.480353809853305,1.1,28562.321
RP,2008,112.394556618882,0.71,90901.96699999999
RUS,2008,537.398849331698,68.51,143248.764
SIN,2008,71.30957098983431,0.76,4775.81
CT,2008,209.90657436557905,19.88,23019.042
THA,2008,278.25155224116804,5.21,66530.98
USA,2008,2064.4699654626293,91.9,303486.022
VN,2008,74.15831113436809,2.25,86243.424
AUS,2009,82.62789483238991,5.25,21750.852000000003
BD,2009,3.5851374603483097,1.0,383.902
CDA,2009,154.417734509219,9.29,33746.093
CHL,2009,37.31586369648381,1.31,16886.1839999999
PRC,2009,3365.9304562439306,577.07,1361169.41
HKC,2009,5.85144700197026,1.0,6924.642
INA,2009,497.13713968757895,3.5,238620.55399999997
JPN,2009,882.2790021713408,87.53,128555.196
KOR,2009,394.879331597114,48.57,49347.45
MAS,2009,128.366902327257,5.35,27735.037999999997
MEX,2009,291.92718392369204,14.13,112463.886
NZ,2009,16.8889476954885,0.77,4323.338
PNG,2009,0.587481062028277,1.0,7144.774
PE,2009,41.25010416149249,0.72,28792.662999999997
RP,2009,105.976930776882,0.82,92414.161
RUS,2009,427.9544270201851,60.01,143326.904
SIN,2009,70.31276923586509,0.66,4966.6140000000005
CT,2009,206.996576337668,15.81,23104.542
THA,2009,266.457822693444,3.65,66866.834
USA,2009,1926.03306151916,59.38,306307.565
VN,2009,76.9891870067058,2.7,87092.25
AUS,2010,79.837677231719,7.3,22154.687
BD,2010,3.92503773725906,1.0,388.634
CDA,2010,158.54256378612405,13.01,34147.566
CHL,2010,37.8686334486247,1.01,17062.531000000003
PRC,2010,3725.88922322214,638.74,1368810.604
HKC,2010,6.180332182802231,1.0,6966.3240000000005
INA,2010,441.58263861530105,3.66,241834.22600000002
JPN,2010,1000.25301212438,109.6,128542.349
KOR,2010,448.778908784798,58.91,49545.638
MAS,2010,135.775205560501,5.69,28208.028
MEX,2010,316.33018958028197,16.87,114092.961
NZ,2010,17.255999927335893,0.85,4370.06
PNG,2010,0.609094758665422,1.0,7310.512
PE,2010,45.45705531169281,0.88,29027.68
RP,2010,115.054726198815,1.05,93966.784
RUS,2010,444.351814316005,66.94,143479.27300000002
SIN,2010,82.5139747352038,0.73,5131.17
CT,2010,262.28695554918596,19.76,23187.556
THA,2010,300.592770503395,4.15,67195.032
USA,2010,2009.2934166573293,80.5,309011.469
VN,2010,57.96127607067929,4.31,87967.655
AUS,2011,75.26878307361879,6.4,22538.002
BD,2011,4.48980492911296,1.0,393.68699999999995
CDA,2011,162.68538447990102,12.89,34539.156
CHL,2011,41.0742862547008,1.62,17233.584
PRC,2011,4140.102827932629,701.97,1376497.6330000001
HKC,2011,5.981330138908478,1.0,7006.598000000001
INA,2011,462.918251486268,3.62,245115.988
JPN,2011,943.1178379141792,107.6,128498.966
KOR,2011,476.629391556715,68.52,49786.153
MAS,2011,142.27016064473796,5.94,28650.962000000003
MEX,2011,323.4839222703401,18.11,115695.46800000001
NZ,2011,17.8131442362672,0.84,4418.674
PNG,2011,0.6331332380608261,1.0,7472.196
PE,2011,46.888358073799495,0.88,29264.314
RP,2011,117.305423604416,1.2,95570.049
RUS,2011,418.659123151817,68.85,143703.027
SIN,2011,82.65311557080499,0.75,5263.64
CT,2011,292.357105205448,20.18,23268.76
THA,2011,284.23039213591204,4.24,67518.379
USA,2011,2043.7931071331006,86.4,311584.05100000004
VN,2011,63.520059263777284,4.9,88871.384
AUS,2012,74.7980138239552,4.89,22903.951
BD,2012,4.58269889669727,1.0,398.99699999999996
CDA,2012,166.867679736377,13.51,34922.031
CHL,2012,42.449341818255796,1.67,17400.359
PRC,2012,4390.82359627799,731.04,1384206.408
HKC,2012,5.780716970739291,1.0,7046.847
INA,2012,483.842441347218,2.25,248451.71399999998
JPN,2012,960.4214766391409,107.23,128423.571
KOR,2012,482.25822997492105,69.07,50060.639
MAS,2012,148.88596574898597,5.61,29068.189
MEX,2012,357.0062950518641,18.07,117274.156
NZ,2012,17.6684385224691,0.91,4468.462
PNG,2012,0.6513685154371689,1.0,7631.003000000001
PE,2012,50.007697890717296,0.98,29506.79
RP,2012,121.962336322396,1.26,97212.63900000001
RUS,2012,442.488743289891,70.21,143993.888
SIN,2012,84.27742282597349,0.69,5369.469
CT,2012,312.228087826286,20.66,23346.897999999903
THA,2012,294.100962496703,3.33,67835.969
USA,2012,2072.28412692732,88.7,314043.885
VN,2012,66.5032167872712,5.3,89801.9259999999
AUS,2013,72.01441342815711,4.69,23254.912
BD,2013,4.45130699635087,1.0,404.414
CDA,2013,163.687479387167,12.42,35296.535
CHL,2013,45.4338127706668,1.32,17571.511000000002
PRC,2013,4603.223055561701,822.0,1391883.335
HKC,2013,5.59542658246476,1.0,7088.78
INA,2013,500.67700194831804,2.64,251805.31399999998
JPN,2013,964.9729959757468,110.6,128314.189
KOR,2013,497.460410974385,66.06,50345.72
MAS,2013,153.870546000801,4.69,29468.923
MEX,2013,350.442977630742,18.24,118827.15800000001
NZ,2013,17.497499553544,0.9,4518.519
PNG,2013,0.6692223504906529,1.0,7788.388000000001
PE,2013,51.7720380519097,1.07,29773.986
RP,2013,129.674969024571,1.31,98871.558
RUS,2013,432.201057958241,69.01,144325.456
SIN,2013,81.5039392836348,0.43,5453.732
CT,2013,323.69413689972805,22.28,23421.582000000002
THA,2013,297.935958472134,3.58,68144.519
USA,2013,2102.3719200771297,86.88,316400.539
VN,2013,70.3754076172119,5.47,90752.59300000001
AUS,2014,71.155567254179,4.61,23596.426
BD,2014,4.24932381452256,1.0,409.778
CDA,2014,165.50864732441602,12.73,35664.337999999996
CHL,2014,47.082391077465104,1.08,17758.9689999999
PRC,2014,4912.443194280781,822.31,1399453.966
HKC,2014,5.03065565308634,1.0,7134.668000000001
INA,2014,526.906483307156,4.43,255128.076
JPN,2014,983.2920289579739,110.67,128168.63
KOR,2014,500.436976786794,71.54,50607.904
MAS,2014,163.350126808187,4.32,29866.606
MEX,2014,361.8032855609681,18.93,120355.13699999999
NZ,2014,19.6328501607025,0.86,4567.522
PNG,2014,0.662628900240355,1.0,7946.733
PE,2014,49.8899663866961,1.08,30090.372000000003
RP,2014,138.953554313214,1.2,100513.13699999999
RUS,2014,441.179871229112,71.46,144664.837
SIN,2014,86.41796764779959,0.54,5525.628000000001
CT,2014,358.30601594862,23.12,23491.976000000002
THA,2014,300.743390146922,4.1,68438.7479999999
USA,2014,2123.3228014290303,88.17,318673.422
VN,2014,73.7117070059362,5.85,91713.85
AUS,2015,71.93882949460222,4.93,23932.499
BD,2015,3.8062771844596703,1.0,414.914
CDA,2015,176.15997457621498,12.47,36026.668
CHL,2015,49.6237035022541,1.11,17969.356
PRC,2015,5080.015545198769,803.83,1406847.868
HKC,2015,4.65032149772767,1.0,7185.99199999999
INA,2015,550.256333756139,4.85,258383.25699999998
JPN,2015,1049.8980996256998,105.13,127985.13900000001
KOR,2015,506.848466789317,69.67,50823.087
MAS,2015,167.30954561602502,3.78,30270.965
MEX,2015,402.891328899532,18.22,121858.25099999999
NZ,2015,20.750575350080695,0.79,4614.527
PNG,2015,0.6057801635913629,1.0,8107.772
PE,2015,50.879005269605905,1.08,30470.738999999998
RP,2015,143.293882007493,0.97,102113.20599999999
RUS,2015,468.625683491953,70.9,144985.059
SIN,2015,89.360031609519,0.5,5592.143
CT,2015,355.3405692391491,21.39,23557.472999999904
THA,2015,308.132958121022,3.72,68714.519
USA,2015,2180.0423045342595,78.85,320878.312
VN,2015,81.71357819899389,5.65,92677.082
AUS,2016,71.4332897321476,5.26,24262.71
BD,2016,2.9283645079806804,1.0,419.791
CDA,2016,178.110240570995,12.65,36382.942
CHL,2016,47.4871307516724,1.15,18209.072
PRC,2016,5320.81039319777,807.61,1414049.3530000001
HKC,2016,4.59729425403017,1.0,7243.541
INA,2016,565.2051967884802,4.75,261556.38600000003
JPN,2016,1049.28637960244,104.78,127763.26699999999
KOR,2016,515.845432147172,68.58,50983.445999999996
MAS,2016,170.863547646505,2.76,30684.652000000002
MEX,2016,410.59975542348394,18.82,123333.379
NZ,2016,19.0158288548207,0.58,4659.265
PNG,2016,0.685222567345153,1.0,8271.766
PE,2016,51.18727483929281,1.17,30926.036
RP,2016,150.323256093993,1.08,103663.81199999999
RUS,2016,452.57250017179496,70.45,145275.374
SIN,2016,89.5910654504567,0.52,5653.625
CT,2016,370.22696519463204,21.75,23618.201
THA,2016,316.613714167368,3.83,68971.313
USA,2016,2120.2092405183103,78.48,323015.99199999997
VN,2016,90.40594710744502,7.81,93640.435
AUS,2017,69.71573667241789,5.33,24584.619
BD,2017,3.27733294785594,1.0,424.481
CDA,2017,183.41537155807305,13.21,36732.091
