economy,item,unit,item_code_new,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
06_HKC,8th_textiles_production_projection,GVA millions USD,14_12_textiles_and_leather,3486.1,2153.4,3228.5,3241.4,3408.3,3696.3,4141.4,3933.183636,3862.948595,4046.410795
06_HKC,8th_nonspecified_production,index,14_13_nonspecified_industry,170.13922341883517,180.56665080306414,188.1725151534033,190.27893843960854,195.02006402235833,199.11833296398498,202.41671603257453,205.17893512028343,211.24657765629325,215.65842754585702
07_INA,8th_steel_production_projection,thousand tonnes,14_1_iron_and_steel,3501.0,3664.0,3621.0,2254.0,2644.0,4428.0,4854.0,4746.0,5195.078,6182.981
07_INA,8th_steel_production_projection_nz,thousand tonnes,14_1_iron_and_steel,3501.0,3664.0,3621.0,2254.0,2644.0,4428.0,4854.0,4746.0,5195.078,6182.981
07_INA,8th_chemicals_production_projection,thousand tonnes,14_2_chemical_incl_petrochemical,5611.4005372,6177.07,6304.07,6538.07,6498.07,6579.47,8762.0,8308.0,6900.0,7076.073271559758
07_INA,8th_chemicals_production_projection_nz,thousand tonnes,14_2_chemical_incl_petrochemical,5611.4005372,6177.07,6304.07,6538.07,6498.07,6579.47,8762.0,8308.0,6900.0,7076.073271559758
07_INA,8th_aluminium_production_projection,thousand tonnes,14_3_non_ferrous_metals,250.0,252.0,244.1,248.0,255.3,210.5,250.0,250.0,242.37,245.726
07_INA,8th_cement_production_projection,thousand tonnes,14_4_nonmetallic_mineral_products,36910.0,39480.0,45238.0,51000.0,56000.0,58000.0,58000.0,63000.0,65000.0,67000.0
07_INA,8th_cement_production_projection_nz,thousand tonnes,14_4_nonmetallic_mineral_products,36910.0,39480.0,45238.0,51000.0,56000.0,58000.0,58000.0,63000.0,65000.0,67000.0
07_INA,8th_transport_production_projection,GVA millions USD,14_5_transportation_equipment,11799.6,14648.099999999999,17495.7,17556.8,18256.7,17322.0,16330.599999999999,20647.8145491,21526.5307479,22367.959311100003
07_INA,8th_machinery_production_projection,GVA millions USD,14_6_machinery,2441.7,2593.1,2640.9,2620.2,2415.5,2762.7,2761.4,3098.310909,3095.920331,3108.310765
07_INA,8th_mining_production_projection,GVA millions USD,14_7_mining_and_quarrying,14688.5,20510.3,21587.7,20735.3,19315.4,18170.5,15547.8,21967.71636,22304.58777,22486.64788
07_INA,8th_food_beverage_tobacco_production_projection,GVA millions USD,14_8_food_beverages_and_tobacco,38283.7,46662.5,54467.7,56673.5,54346.2,54929.4,55967.4,66032.83455,68828.15437999999,71605.01227
07_INA,8th_pulp_paper_production_projection,tonnes,14_9_pulp_paper_and_printing,18806000.0,19557000.0,20423000.0,20786000.0,20858000.0,20982256.0,21510716.0,22113709.0,23443678.0,23443678.0
07_INA,8th_wood_production_projection,GVA millions USD,14_10_wood_and_wood_products,4982.7,6194.3,6722.1,6397.2,6341.5,6353.5,5776.0,7366.787273000001,7526.424462999999,7665.954053
07_INA,8th_construction_production_projection,GVA millions USD,14_11_construction,50000.3,68397.1,80458.8,84961.6,85804.8,87023.0,87172.6,107628.5273,115231.8372,122304.5801
07_INA,8th_textiles_production_projection,GVA millions USD,14_12_textiles_and_leather,11356.7,12656.4,14713.5,14586.9,14653.5,14000.5,12651.7,16179.21455,16216.16711,16508.51981
07_INA,8th_nonspecified_production,index,14_13_nonspecified_industry,174.4333495583784,182.82755866003052,191.5087935105974,200.3306183574575,208.6472001985467,216.2400226715624,223.92749061769845,232.34456073198024,241.26390956869045,250.87788487040928
08_JPN,8th_steel_production_projection,thousand tonnes,14_1_iron_and_steel,87534.0,109599.0,107601.0,107232.0,110595.0,110666.0,105134.0,104775.0,104661.087,104318.836
08_JPN,8th_steel_production_projection_nz,thousand tonnes,14_1_iron_and_steel,87534.0,109599.0,107601.0,107232.0,110595.0,110666.0,105134.0,104775.0,104661.087,104318.836
08_JPN,8th_chemicals_production_projection,thousand tonnes,14_2_chemical_incl_petrochemical,24865.4,26287.300000000003,25014.625,23991.0,26375.3,25231.5,25616.9,25322.291,26088.02,25649.971111231178
08_JPN,8th_chemicals_production_projection_nz,thousand tonnes,14_2_chemical_incl_petrochemical,24865.4,26287.300000000003,25014.625,23991.0,26375.3,25231.5,25616.9,25322.291,26088.02,25649.971111231178
08_JPN,8th_aluminium_production_projection,thousand tonnes,14_3_non_ferrous_metals,39.0,54.0,43.324,25.774,29.07,45.853,42.0,45.0,52.95399999999999,57.0499
08_JPN,8th_cement_production_projection,thousand tonnes,14_4_nonmetallic_mineral_products,54800.0,51526.0,51291.0,54737.0,57400.0,57913.0,54800.0,53300.0,52783.9890831032,52407.0942315767
08_JPN,8th_cement_production_projection_nz,thousand tonnes,14_4_nonmetallic_mineral_products,54800.0,51526.0,51291.0,54737.0,57400.0,57913.0,54800.0,53300.0,52783.9890831032,52407.0942315767
08_JPN,8th_transport_production_projection,GVA millions USD,14_5_transportation_equipment,132915.4,168602.5,159293.0,183545.8,150465.7,148038.30000000002,145815.1,158850.1145,159979.84533,159189.57368
08_JPN,8th_machinery_production_projection,GVA millions USD,14_6_machinery,126817.3,150440.0,171367.2,178412.3,143463.3,139187.1,133494.5,152740.4,152008.9836,150200.1959
08_JPN,8th_mining_production_projection,GVA millions USD,14_7_mining_and_quarrying,1577.0,1819.0,2134.7,1941.1,1769.5,1687.7,1527.5,1526.325455,1516.729256,1486.953052
08_JPN,8th_food_beverage_tobacco_production_projection,GVA millions USD,14_8_food_beverages_and_tobacco,130803.6,142830.0,151467.9,153601.1,123125.4,116281.5,109180.2,132482.1582,132961.1066,130735.5658
08_JPN,8th_pulp_paper_production_projection,tonnes,14_9_pulp_paper_and_printing,56426919.0,58467031.0,57162578.0,56345622.0,56898000.0,57375651.0,56578849.0,56144708.0,56386763.0,55361000.0
08_JPN,8th_wood_production_projection,GVA millions USD,14_10_wood_and_wood_products,9886.5,10760.8,12251.2,11363.7,10437.0,9878.1,7635.4,9836.076364,9720.264131999998,9428.712379
08_JPN,8th_construction_production_projection,GVA millions USD,14_11_construction,271850.8,273227.8,301894.6,306870.0,274389.3,268311.0,241269.1,278801.7764,282253.4369,282867.7552
08_JPN,8th_textiles_production_projection,GVA millions USD,14_12_textiles_and_leather,17552.8,17584.1,18984.0,19463.9,14917.1,13677.3,12588.4,14597.76909,14062.96694,13219.65479
08_JPN,8th_nonspecified_production,index,14_13_nonspecified_industry,112.64611167867074,117.37967315351897,117.28377519729796,119.10715719170528,121.59318371877173,122.18742588939749,123.85900280682588,124.82982156384459,127.49748280322962,128.80635499039687
09_ROK,8th_steel_production_projection,thousand tonnes,14_1_iron_and_steel,48572.0,58914.0,68519.0,69073.0,66061.0,71543.0,69670.0,68576.0,71029.994,72464.039
09_ROK,8th_steel_production_projection_nz,thousand tonnes,14_1_iron_and_steel,48572.0,58914.0,68519.0,69073.0,66061.0,71543.0,69670.0,68576.0,71029.994,72464.039
09_ROK,8th_chemicals_production_projection,thousand tonnes,14_2_chemical_incl_petrochemical,21393.0,23273.0,23055.0,25272.0,25550.0,25745.0,25909.0,27435.0,29227.0,30138.628564949315
09_ROK,8th_chemicals_production_projection_nz,thousand tonnes,14_2_chemical_incl_petrochemical,21393.0,23273.0,23055.0,25272.0,25550.0,25745.0,25909.0,27435.0,29227.0,30138.628564949315
09_ROK,8th_aluminium_production_projection,thousand tonnes,14_3_non_ferrous_metals,0.0,0.0,539.0,621.0,603.0,620.0,640.0,664.9,667.22,691.0260000000001
09_ROK,8th_cement_production_projection,thousand tonnes,14_4_nonmetallic_mineral_products,50126.0,47420.0,48249.0,47087.0,47291.0,47048.0,51700.0,57000.0,57199.90595684985,56933.199907403374
09_ROK,8th_cement_production_projection_nz,thousand tonnes,14_4_nonmetallic_mineral_products,50126.0,47420.0,48249.0,47087.0,47291.0,47048.0,51700.0,57000.0,57199.90595684985,56933.199907403374
09_ROK,8th_transport_production_projection,GVA millions USD,14_5_transportation_equipment,37519.4,48830.0,54469.7,55476.8,58129.0,60302.0,57914.8,65098.49636,67378.20595,69997.83377
09_ROK,8th_machinery_production_projection,GVA millions USD,14_6_machinery,19162.5,25060.0,28650.3,29414.3,31443.3,33752.4,33518.1,35502.73091000001,37201.05851,39187.70356
09_ROK,8th_mining_production_projection,GVA millions USD,14_7_mining_and_quarrying,1390.0,1487.0,1622.3,1551.2,1799.1,1986.3,1594.4,1806.330909,1825.933058,1840.745211
09_ROK,8th_food_beverage_tobacco_production_projection,GVA millions USD,14_8_food_beverages_and_tobacco,11341.3,12915.5,14263.3,14292.9,15741.2,17372.7,17512.2,17195.14182,17852.22975,18691.44374
09_ROK,8th_pulp_paper_production_projection,tonnes,14_9_pulp_paper_and_printing,9726000.0,11022000.0,11256000.0,11332000.0,11767000.0,11622000.0,11569000.0,11652000.0,11683552.33826236,11759940.91511328
09_ROK,8th_wood_production_projection,GVA millions USD,14_10_wood_and_wood_products,1207.0,1361.0,1502.2,1307.0,1553.1,1845.7,1840.9,1746.652727,1810.026446,1898.829551
09_ROK,8th_construction_production_projection,GVA millions USD,14_11_construction,46682.3,50718.5,52862.7,53227.7,58684.1,63883.4,65876.1,61038.29091,61915.87306000001,63905.09285
09_ROK,8th_textiles_production_projection,GVA millions USD,14_12_textiles_and_leather,12193.9,14692.2,16923.8,18234.3,19121.0,19736.7,17790.7,20395.72,21395.13091,22507.87924
09_ROK,8th_nonspecified_production,index,14_13_nonspecified_industry,246.31337098905072,261.2665500626815,269.5769329446923,274.2447153457256,280.5895273381319,288.463058802619,295.2564395642673,302.94952237481203,311.53790262366255,319.3800884213831
10_MAS,8th_steel_production_projection,thousand tonnes,14_1_iron_and_steel,5354.0,5694.0,5941.0,5612.0,4693.0,4316.0,3784.0,2764.0,3214.94,4108.491
10_MAS,8th_steel_production_projection_nz,thousand tonnes,14_1_iron_and_steel,5354.0,5694.0,5941.0,5612.0,4693.0,4316.0,3784.0,2764.0,3214.94,4108.491
10_MAS,8th_chemicals_production_projection,thousand tonnes,14_2_chemical_incl_petrochemical,3687.0,3643.0,3792.0,3846.0,3605.581,3452.8124900000003,3930.32294,4385.59948,4044.5306220836273,4078.92109974958
