Economy,Predicted Steel Production per capita,Year,Population,Predicted Steel Production
PNG,5.624884224843471e-05,2050,14204.06,0.7989619302273014
PE,4.1845856689419616e-05,2019,32510.462000000003,1.3604281337588224
PE,4.284777574397741e-05,2020,32971.846,1.4127702632729584
PE,4.424668431931699e-05,2021,33359.416,1.4760435488287722
PE,4.564325501359808e-05,2022,33684.218,1.5374573521076307
PE,4.7093887811784075e-05,2023,33966.046,1.5995931597338973
PE,4.8586266790262705e-05,2024,34236.195,1.663408904153458
PE,5.011907775833145e-05,2025,34517.501000000004,1.7299853166422838
PE,5.1693032922266484e-05,2026,34814.66,1.7996753655575142
PE,5.331039361850009e-05,2027,35119.951,1.872258411672436
PE,5.498296449163195e-05,2028,35429.212,1.9480031053625004
PE,5.670327516496353e-05,2029,35734.664,2.0262724857195162
PE,5.848349094165315e-05,2030,36030.592000000004,2.107194800854401
PE,6.030560594482964e-05,2031,36316.896,2.19011241931536
PE,6.219060183017138e-05,2032,36596.066,2.2759313691566723
PE,6.413043287935932e-05,2033,36867.742999999995,2.364344317874969
PE,6.613668274617605e-05,2034,37131.741,2.4557701743301776
PE,6.820141184881951e-05,2035,37387.959,2.5499115899457783
PE,7.032657380174015e-05,2036,37636.011,2.646811705194604
PE,7.251413187288757e-05,2037,37875.782,2.7465294507367415
PE,7.477578202651562e-05,2038,38107.859,2.849544958081191
PE,7.709385652307056e-05,2039,38333.101,2.9552465885783725
PE,7.94899561641313e-05,2040,38552.117999999995,3.0645061698544165
PE,8.196627979780223e-05,2041,38765.025,3.1774248855187985
PE,8.451527959424088e-05,2042,38971.595,3.29369524765852
PE,8.714918200798712e-05,2043,39171.666,3.4137786497900806
PE,8.985063580404398e-05,2044,39364.97,3.536967582907117
PE,9.264195808003962e-05,2045,39551.257000000005,3.664105893006874
